"",Audrey Marie Hilley
"",“The Black Widow”
"",
"",
"",Information researched and summarized by
"","Sarah Brock, Matthew Byers, Molly Christopher"
"",
"",Department of Psychology
"",Radford University
"","Radford, VA  24142-6946"
"",
"",
Date,Age Life Event
"",
01/18/1932,"Marie’s parents, Huey and Lucille Frazier, were married"
"","Born as Audrey Marie Frazier in Anniston, Alabama to Huey and Lucille Frazier. Because her parents"
06/04/1933,0
"","worked long hours, she spent most of her childhood being raised by her two aunts."
"",Her parents denied her nothing and enforced little to no discipline.  She was described as throwing violent
"",tantrums whenever anyone tried to admonish her.  Her parents allowed her to sleep in their bed “well past
"","the age where children learn to sleep through the night in their own beds” (McDonald, 1986)."
"",Attended Quintard Junior High School and was elected as the “prettiest girl” in the school. Began a
1946,12
"","contentious relationship with Frank Alfred Hilley, a junior in high school."
05/08/1951,17 Married Frank Hilley while he was on leave from the Navy.
"","While Frank was in Guam, he sent her every one of his paychecks for her to save.  She spent the money"
1952,18
"",without telling him.
"","Moved briefly to California with Frank.  When he was discharged from the Navy, they moved back to"
"",
"",Anniston.  Described time in California as the happiest in her life.
"",Marie gets a job as a secretary and Frank found work as a shipping clerk.
11/11/1952,"19 After being in labor for almost two days, Marie gave birth to Michael D. Hilley."
"","Followed the trial of Nancy Hazel Doss, a.k.a. The Giggling Granny, who had killed her 4 husbands, 2"
05/17/1955,21
"","children, 2 sisters, mother, grandson, and nephew by slowly poisoning them with arsenic."
"",Began to privately taunt Frank with letters she claimed were love letters from other men.  She showed him
"","the letters, but refused to let him read them.  Then she tore them up in front of him, but left the remains"
1959,
"","where he could find them.  Frank found that she had written them all herself.  When confronted, she"
"",confessed that she had done it because she was afraid he didn’t love her anymore.
"",Spent more than twice her monthly take-home pay from her job as a secretary on clothes and luxury items.
"",
"","Checked the mail early and hid the bills away from Frank, who was very fiscally responsible."
1959,"While pregnant with Carol Hilley, often wandered around aimlessly in the front yard at night."
01/14/1960,26 Gave birth to Carol Marie Hilley.
"",Marie was openly disappointed in Carol’s plain looks and unwillingness to wear the dresses she bought for
"",
"",her.
"","Insisted upon moving to a house on McClellan Boulevard, closer to the houses belonging to the wealthier"
1962,
"",residents of Anniston.
"",Huey and Lucille moved in with the Hilleys.
"","Huey died of cancer in Anniston, AL, at the age of 57.  Lucille continued to live with Marie until her own"
12/11/1965,
"",death.
"","Evidence of a possible extramarital affair, according to her sister-in-law.  (Marie suddenly asked to live"
"",,"with her.  While she was there, she was observed leaving with a strange man.)"
1971,,"Son, Michael, graduates from high school"
1972,,"Marie purchased a $25,000 life insurance policy for Michael, of which she was the sole beneficiary."
"",,"After Michael went to college, she and Frank fostered a child named Maria Alexander, for whom thecounty paid a monthly stipend.  Objects around the house began to vanish with no explanation (e.g., cutsof meat from the freezer, appliances, small household items)"
1973,,"Marie suspected that that her daughter, Carol, was a lesbian.  Prone to sudden, violent rages at Carol’sfemale friends.  Began to refuse to allow Franks friends to talk to him on the telephone.  (Probably beganlacing Frank’s food with arsenic at this point.)"
05/19/1975,41,"Frank called Michael (who was living in Florida) and said he needed to tell him something that was tooimportant to talk about over the phone.  They agreed to meet in Georgia the following weekend.  Mariehad eavesdropped on the conversation via an extension.  Frank’s symptoms worsened severelyimmediately afterward."
05/19/1975,41,"Frank Hilley goes to see his doctor, complaining of nausea."
05/22/1975,41,"Dr. Earl Jones prescribed a medication in capsule form to reduce stomach spasms for what he believed tobe Frank’s viral stomach infection.  Marie told Frank’s sister, Freeda, that he had prescribed medication tobe delivered via injection and authorized her to administer it."
05/23/1975,41,Frank Hilley is admitted to the Regional Medical Center.
05/25/1975,41,"Frank Hilley (45) succumbed to arsenic poisoning while at the Regional Medical Center.  The autopsystated that he had died of infectious hepatitis."
"",,"Following Frank’s death, filed a claim for $31,140 in life insurance of which she was the sole beneficiary.Bought a series of lavish purchases such as a car, a motorcycle, and new furniture for the entire house."
1976,,"Michael and his wife, Teri, moved in with Marie in order to help care for Lucille, who had become ill."
"",,"The household began to receive anonymous, threatening notes written in crude, childish handwriting.  Thenotes stated that horrible things would happen to the Hilley family if they did not leave Anniston.  Theneighbor, Doris Ford, received similar notes.  Marie reported numerous cases of vandalism to herinsurance company and collected payments.  She was later found to have written the notes and committedthe vandalism."
1976,,"Probably poisoned Teri, causing her to lose her baby.  (Her symptoms matched those of Marie’s otherconfirmed poisoning victims.)  Michael and Teri moved out."
09/05/1976,43,"House caught fire while no one was home.  Sued the Alabama Gas Company for $75,000.  Lost thelawsuit, but collected insurance."
"",43,"Lucille Frazier’s health worsened.  Marie offered to help administer painkillers via injection.  Evidencesuggests that Marie had been poisoning her.  (Four times the safe amount of arsenic was found in her liverwhen she was exhumed in the investigation of Frank Hilley’s death.)"
01/04/1977,43,"Lucille Frazier succumbed to a widespread, aggressive cancer.  (Arsenic is a known carcinogen.)  Mariecollected $600 from a small burial policy."
"",,"Vandalism of the Hilley and Ford homes escalated to window-breaking and screen-cutting.  Both beganreceiving telephone calls consisting of nothing but heavy breathing.  Marie blamed the 18-year old son ofone of her neighbors.  She claimed that he had stolen nine pieces of valuable jewelry, two gold candlestickholders, a revolver, a tear gas gun, and a hairdryer.  She just happened to have pictures of every piece ofjewelry stolen, which she used when filing the insurance claim."
"",,"Contacted the Anniston Police Department almost daily for the next two years, complaining of harassment,vandalism, burglary, and eventually extortion attempts.  Accused neighbors, friends of Carol, and formeremployers.  A trace on her phone line showed that at least one of the calls came from a telephone boothacross the street from her house.  During this time, Marie experimented on the detectives involved in hercase by bringing them cakes and cookies laced with varying doses of arsenic."
06/17/1977,44,"Marie contacted Detective Gary Caroll of the Anniston Police Department reporting smelling gas fumes ather house.  He described her as very polite, soft-spoken, religious, and vulnerable.  An investigation by thegas company found that there was a valve underneath her house which would release gas if depressed."
"",44,"Detective Caroll noticed that the harassing calls would stop whenever the trace was on, and start again assoon as it had been taken off.  Marie told him she suspected that someone at the phone company wasinvolved."
"",44,"Claimed that one of her former employers attempted to force her to have oral sex with him, and put forththe idea that he was responsible for the harassment.  Told Detective Donnie Williams that two men had"
"",,"come by her house shortly after Frank’s death, demanding $30,000 or $40,000 in payment for gamblingdebts. Marie told Detective Caroll that the harassment was to get them to move because K-mart wasbuilding a store on their street.  No phone calls occurred while Carol was at home."
"",44,"Later calls made to Doris Ford were traced to the Jenkins Manufacturing Plant, where Marie was workingas a secretary."
07/22/1977,44,"An early morning fire broke out in the Hilley house.  It was found to have been set in a closet facingCarol’s bedroom door.  A similar fire broke out in the closet of the Ford home a short while later, whileMarie and Carol were staying there.  Marie accused Doris Ford’s boyfriend of starting the fires (eventhough he couldn’t have gotten into the Hilley house without breaking in)."
"",44,"Sold her house for a much smaller amount than it was worth so that she could close the sale with cash.Moved with Carol to an apartment and obtained an unlisted phone number"
08/03/1977,44,"Informed Detective Caroll that she was still getting calls even though she had only given her new phonenumber to Doris Ford,  Freeda Adcock, and one of Carol’s friends."
"",44,"Detectives Williams and Caroll began to feel uncomfortable about Marie’s constant calls, and suspectedthat she might be fabricating things.  They concluded amongst themselves that the Hilleys didn’t seem tobe in real danger anymore."
